Position,"Track Name",Artist,Streams,URL
1,Sorry,"Justin Bieber",110400,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2,Hello,Adele,104426,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
3,"What Do You Mean?","Justin Bieber",67426,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
4,"Locked Away","R. City",63751,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
5,"Lean On (feat. MØ & DJ Snake)","Major Lazer",62976,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
6,"Cheerleader - Felix Jaehn vs Salaam Remi Remix",OMI,59229,https://open.spotify.com/track/73mE3nfR4jSuJMGHmcGOlp
7,Ginza,"J Balvin",55786,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
8,"Can't Feel My Face","The Weeknd",51694,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
9,"Hotline Bling",Drake,51416,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
10,Bajito,"Jencarlos Canela",49283,https://open.spotify.com/track/2q5VkfuJpCHJiFkMqNsenl
11,"Por Fin Te Encontré","Cali Y El Dandee",46134,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM
12,"La Gozadera","Gente De Zona",46000,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov
13,"Love Yourself","Justin Bieber",45538,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
14,Stitches,"Shawn Mendes",45409,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
15,"Where Are Ü Now (with Justin Bieber)","Jack Ü",43772,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
16,"Thinking Out Loud","Ed Sheeran",38947,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
17,"How Deep Is Your Love","Calvin Harris",38421,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
18,Picky,"Joey Montana",38315,https://open.spotify.com/track/0ZogPPD0uFaPXVhlZJOtSK
19,"Sorry - Latino Remix","Justin Bieber",37749,https://open.spotify.com/track/0XXLwO7YHHTAK3OJkWQ37b
20,Focus,"Ariana Grande",36544,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
21,"Gyal You a Party Animal","Charly Black",36241,https://open.spotify.com/track/2tVuoWRu7DmMXAuqtZ4UCp
22,"Borro Cassette",Maluma,35862,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
23,"El Perdón","Nicky Jam",35348,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
24,"On My Mind","Ellie Goulding",35002,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
25,"Ain't Nobody (Loves Me Better)","Felix Jaehn",34700,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
26,"Waiting For Love",Avicii,33703,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
27,"Uptown Funk","Mark Ronson",31081,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
28,Firestone,Kygo,31066,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
29,Photograph,"Ed Sheeran",30933,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
30,"I'll Show You","Justin Bieber",30649,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
31,"Me Voy Enamorando - Remix","Chino & Nacho",30282,https://open.spotify.com/track/0nfBKG11Wv2bK8cPjMU5VB
32,"Stole the Show",Kygo,29639,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
33,Sugar,"Maroon 5",28689,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
34,"Good For You","Selena Gomez",28169,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
35,"Lejos De Aquí",Farruko,28097,https://open.spotify.com/track/2QBlGKAp4PquIGtA6iNAuJ
36,"Sígueme Y Te Sigo","Daddy Yankee",27789,https://open.spotify.com/track/1ClQpnPU9M6mQpXGvhGPvQ
37,"Are You with Me - Radio Edit","Lost Frequencies",27709,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
38,"See You Again (feat. Charlie Puth)","Wiz Khalifa",27686,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
39,"Want To Want Me","Jason Derulo",27544,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
40,Vuelve,"Juan Magán",27385,https://open.spotify.com/track/1mNJT19BzMjOoUrxSUp0xi
41,Perfect,"One Direction",26730,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
42,"Sugar (feat. Francesco Yates)","Robin Schulz",25534,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
43,"The Hills","The Weeknd",24207,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
44,"Reality - Radio Edit","Lost Frequencies",24199,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
45,"I Don't Like It I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",23839,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
46,"Hey Mama (feat. Nicki Minaj Bebe Rexha & Afrojack)","David Guetta",23628,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
47,"Como Yo Le Doy - Spanglish Version",Pitbull,21769,https://open.spotify.com/track/2MRv991PzjY2ecCluXoRq9
48,"Drag Me Down","One Direction",21497,https://open.spotify.com/track/2K87XMYnUMqLcX3zvtAF4G
49,Rude,MAGIC!,21389,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp
50,"La Mordidita","Ricky Martin",20992,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm
