Position,"Track Name",Artist,Streams,URL
1,Hello,Adele,604926,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
2,Sorry,"Justin Bieber",438555,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
3,"Hotline Bling",Drake,374555,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
4,"En Y",Jul,371788,https://open.spotify.com/track/6oXhkni7EDL6HtfaU3TEJ2
5,"Sapés comme jamais - Pilule Bleue","Maître Gims",369830,https://open.spotify.com/track/0CJ31BEjjl1tPIj0CKi9kH
6,Amnésia,Jul,351387,https://open.spotify.com/track/66uuXLd0vbuCPYZFWrIHZs
7,"Wesh alors",Jul,340378,https://open.spotify.com/track/5QVn9J9MOHTEBnp6jDlFMo
8,"Sugar (feat. Francesco Yates)","Robin Schulz",339614,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
9,"Comme d'hab",Jul,319498,https://open.spotify.com/track/20JPVFdRBcYqh6D6JrE9DB
10,Renegades,"X Ambassadors",304413,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
11,"92i veyron",Booba,299907,https://open.spotify.com/track/31J8vqtOHXRJ8rtWwQKLw3
12,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",284731,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
13,"What Do You Mean?","Justin Bieber",284195,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
14,"Dans la légende",Jul,282975,https://open.spotify.com/track/3NQzDGk5cCP3WV26sluUjP
15,Validée,Booba,279882,https://open.spotify.com/track/6WMWi9Ca2vksL36tNUVBFb
16,"Lean On (feat. MØ & DJ Snake)","Major Lazer",272916,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
17,"Locked Away","R. City",271534,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
18,"Génération assassin",Booba,269470,https://open.spotify.com/track/2RaMSbw3z8MusARLxPRJKi
19,"Same Old Love","Selena Gomez",265129,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
20,"Don't Worry (feat. Ray Dalton) - Radio Edit",Madcon,264709,https://open.spotify.com/track/63CSozvYUEudPp12679UVF
21,Rosa,Gradur,258179,https://open.spotify.com/track/7cUptfpCyqTrZttDz7hC5v
22,"Ain't Nobody (Loves Me Better)","Felix Jaehn",257684,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
23,"Encore des paroles",Jul,253221,https://open.spotify.com/track/3ybnCBuux48VsZGhu26bai
24,"Can't Feel My Face","The Weeknd",243864,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
25,"À l’heure où je me couche","Casseurs Flowters",239160,https://open.spotify.com/track/3O5TYq1mzXqCCNQtKjcbTY
26,"How Deep Is Your Love","Calvin Harris",239109,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
27,"Stole the Show",Kygo,236691,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
28,Photograph,"Ed Sheeran",235279,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
29,"Là c'est die",RIDSA,233683,https://open.spotify.com/track/6krONpzWyqGmjyD4ph9J4A
30,Mamasita,Jul,232427,https://open.spotify.com/track/7Ie0iiYTkQaAFql9JGsuJ6
31,"El Perdón","Nicky Jam",230597,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
32,Middle,"DJ Snake",226835,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
33,Pinocchio,Booba,218540,https://open.spotify.com/track/2i01rpspHKtVa2ZVrVEH6q
34,Zer,Booba,217101,https://open.spotify.com/track/19A3jB7lQakKeUl0vVdeST
35,"Ma dope",Nekfeu,216248,https://open.spotify.com/track/7xyyjOyiYVJCT3CmJl7HwW
36,"Easy Love - Original Mix",Sigala,215588,https://open.spotify.com/track/5MMp4HNtX6T2xT9w6Xmaxn
37,"Dans l'appart",Jul,210845,https://open.spotify.com/track/0gt7nFW1ohnsTHe1e37NU5
38,Walabok,Booba,210799,https://open.spotify.com/track/5LwsmaDLChm9DfXTh99LTK
39,"Love Yourself","Justin Bieber",209769,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
40,"D'or et de platine",Gradur,208444,https://open.spotify.com/track/35QtPVEyKhiQhFTs8RfCmE
41,"You're My Window To The Sky","The Avener",204356,https://open.spotify.com/track/7hxpi3hKI8uUYozfk8JeWm
42,Mama,Jul,202067,https://open.spotify.com/track/5nIr7bzPAlCKxCxyDyt9bn
43,Talion,Booba,198711,https://open.spotify.com/track/3zLYxRDCbSY8LUSuSfvXmt
44,4G,Booba,197567,https://open.spotify.com/track/3j0M1PNwsw4xH0q1Nhmjn3
45,"Ghost Rider",Jul,197398,https://open.spotify.com/track/0K96R5L9DB3eQ3WwXtLTHQ
46,"Il me faut des billets",Jul,193006,https://open.spotify.com/track/3qsVvisKLVxAW4YrAra1lN
47,Lova,Jul,188754,https://open.spotify.com/track/5zSYQlL08HqSAK1TaWD9pU
48,"On My Mind","Ellie Goulding",179048,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
49,"Ne m'en voulez pas",Jul,178229,https://open.spotify.com/track/3DE0gHoiyYanbZJhIkQdil
50,"Pour les taulards",Jul,177164,https://open.spotify.com/track/7xmSDcmwfrh2ehLG7i6dcf
