Position,"Track Name",Artist,Streams,URL
1,Sorry,"Justin Bieber",1246743,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2,Hello,Adele,1064520,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
3,"What Do You Mean?","Justin Bieber",998319,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
4,"Hotline Bling",Drake,927104,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
5,"Lean On (feat. MØ & DJ Snake)","Major Lazer",831630,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
6,Ginza,"J Balvin",740564,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
7,"Can't Feel My Face","The Weeknd",726389,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
8,"Sorry - Latino Remix","Justin Bieber",702529,https://open.spotify.com/track/0XXLwO7YHHTAK3OJkWQ37b
9,"How Deep Is Your Love","Calvin Harris",643335,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
10,Focus,"Ariana Grande",635680,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
11,"Love Yourself","Justin Bieber",631167,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
12,"Locked Away","R. City",597382,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
13,"Borro Cassette",Maluma,589527,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
14,Stitches,"Shawn Mendes",579442,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
15,"Adventure Of A Lifetime",Coldplay,572686,https://open.spotify.com/track/4MFCXniy7I8tj0GXtf3wgC
16,"Where Are Ü Now (with Justin Bieber)","Jack Ü",543717,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
17,Photograph,"Ed Sheeran",530674,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
18,"El Perdón","Nicky Jam",516830,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
19,"Same Old Love","Selena Gomez",513852,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
