Position,"Track Name",Artist,Streams,URL
1,"Love Yourself","Justin Bieber",4092855,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
2,Sorry,"Justin Bieber",3730558,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
3,"What Do You Mean?","Justin Bieber",2399449,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
4,Hello,Adele,2327134,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
5,"Never Forget You","Zara Larsson",1639996,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
6,"I'll Show You","Justin Bieber",1356789,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
7,In2,WSTRN,1340801,https://open.spotify.com/track/1hu2dRGo6kxbvc7NuNGD4v
8,"Hotline Bling",Drake,1333155,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
9,"Where Are Ü Now (with Justin Bieber)","Jack Ü",1195211,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
10,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,1191697,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
11,Perfect,"One Direction",1063964,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
12,Company,"Justin Bieber",1062390,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
13,"Can't Feel My Face","The Weeknd",1050225,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
14,Sax,"Fleur East",1044419,https://open.spotify.com/track/20dJUFrfY0TBZ7HHhJgjsg
15,"Take Me Home","Jess Glynne",1033904,https://open.spotify.com/track/6oO10y1h2VyxJQfomG4CtH
16,"The Hills","The Weeknd",1030279,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
17,"How Deep Is Your Love","Calvin Harris",989416,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
18,"The Feeling","Justin Bieber",985881,https://open.spotify.com/track/7vldwy3gdhmPRKWSCi8H61
19,"On My Mind","Ellie Goulding",956289,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
20,Focus,"Ariana Grande",935201,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
21,"Locked Away","R. City",929624,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
22,"Mark My Words","Justin Bieber",902784,https://open.spotify.com/track/5JcxAgRw2S3hb67AA8Vk13
23,"Be Right There",Diplo,886065,https://open.spotify.com/track/1Wuwsq0BK4Abd7gRitOhXl
24,"No Pressure","Justin Bieber",870128,https://open.spotify.com/track/10SDxx0CFWGqgVVBeX22TP
25,"Lean On (feat. MØ & DJ Snake)","Major Lazer",869738,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
26,Stitches,"Shawn Mendes",853925,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
27,Purpose,"Justin Bieber",818731,https://open.spotify.com/track/3jHCXrZNz8fQEEf4BpWCAj
28,"Runnin' (Lose It All)","Naughty Boy",793686,https://open.spotify.com/track/0H2BuFu2MuJfnF1yHKjBcp
29,"Don't Be So Hard On Yourself","Jess Glynne",746319,https://open.spotify.com/track/1KtVVUM6OkpyOsbVfbMybX
30,"Wasn't Expecting That","Jamie Lawson",743584,https://open.spotify.com/track/2a5VluIESm1JP4Qwvo02H8
31,"Kiss Me","Olly Murs",740749,https://open.spotify.com/track/3BAo1tqi1FF9uj4O41X2Sf
32,"Turn The Music Louder (Rumble)",KDA,736479,https://open.spotify.com/track/0snUP8dDrVnETFofbVaKFT
33,"Trap Queen","Fetty Wap",732678,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
34,"Adventure Of A Lifetime",Coldplay,732382,https://open.spotify.com/track/4MFCXniy7I8tj0GXtf3wgC
35,"Drag Me Down","One Direction",726491,https://open.spotify.com/track/2K87XMYnUMqLcX3zvtAF4G
36,Children,"Justin Bieber",723917,https://open.spotify.com/track/6O8I0ffpEtyMQmMYo0bj4N
37,"No Sense","Justin Bieber",715910,https://open.spotify.com/track/5L9WFUodzACitS1TiGm7Mi
38,"Downtown (feat. Eric Nally Melle Mel Kool Moe Dee & Grandmaster Caz)","Macklemore & Ryan Lewis",695020,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
39,"Love Me Like You","Little Mix",694479,https://open.spotify.com/track/0fIOacVe000P5pNhaKQlQw
40,"All I Want For Christmas Is You - Original Version","Mariah Carey",693088,https://open.spotify.com/track/5KdPyhcsQ5PvkvPBq6lLti
41,Photograph,"Ed Sheeran",687263,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
42,"Writing's On The Wall","Sam Smith",676372,https://open.spotify.com/track/4oWmroatZtMmlgc3havMrv
43,"What Do You Mean? - Acoustic","Justin Bieber",657666,https://open.spotify.com/track/5bldrrpdHrTeaWNT1Kp5xs
44,"Do It Again","Pia Mia",651703,https://open.spotify.com/track/1PTqbs9FV8hSJCS7OOF5OC
45,"Sweet Lovin' - Radio Edit",Sigala,642632,https://open.spotify.com/track/4m2fkcupHXqsvL8tZbfRWh
46,"Intoxicated - Radio Edit","Martin Solveig",633234,https://open.spotify.com/track/49aLCvvEKM5EA8IYwDmtaE
47,"Life Is Worth Living","Justin Bieber",629765,https://open.spotify.com/track/150xRZE9rtvEPdedbf3y3l
48,"Alone No More","Philip George",628547,https://open.spotify.com/track/1bVk409hTFVAmFqKtj4zai
49,"Half The World Away",AURORA,624981,https://open.spotify.com/track/7LZPUnAC0rBCXSLIflzE3I
50,"Peanut Butter Jelly",Galantis,592571,https://open.spotify.com/track/3aIhJDHxr1kgTSnutJxPTH
